"SMILES","name","LOGEC50","MolecularFormula","ATCH1","ATCH2","ATCH3","ATCH4","ATCH5","ATCH6","ATCH7","ATCH8","ATCH9","ATCH10","DIPV_X","DIPV_Y","DIPV_Z","DIPMOM","ESDL1","ESDL2","ESDL3","ESDL4","ESDL5","ESDL6","ESDL7","ESDL8","ESDL9","ESDL10","NSDL1","NSDL2","NSDL3","NSDL4","NSDL5","NSDL6","NSDL7","NSDL8","NSDL9","NSDL10","VDWVOL","SURF_A","MOFI_X","MOFI_Y","MOFI_Z","PEAX_X","PEAX_Y","PEAX_Z","MOL_WT","S8_1DX","S8_1DY","S8_1DZ","S8_1CX","S8_1CY","S8_1CZ","LOGP","M_PNT","SUM_F","SUM_R"
"Oc1c(cccc1NC=O)C(=O)NCCCCCCCCCCCCCC","J1","-0.85000002","C22H36N2O3","0.16869999","0.039099999","-0.0092000002","-0.1005","0.0027000001","-0.2403","-0.25209999","0.41769999","-0.41319999","-0.40329999","2.1993001","-1.7847","-0.0244","2.8324001","-0.54659998","-0.80540001","-1.7022001","-0.28920001","-1.2932","-1.4297","-0.40220001","-0.46579999","-0.60689998","-0.38960001","7.6718998","4.2388","1.1007","6.0696001","4.0671","1.0302","1.2752","1.456","0.49360001","0.67879999","379.99982","488.07489","766.60571","37378.305","36572.98","22.059","0.50739998","3.2328999","376.54135","17.0896","13.6199","7.0784001","11.1982","-4.9646001","-1.5653","7.2389998","81","0.25","-0.23"
"Clc1cc(NC(=O)c2cccc(NC=O)c2O)ccc1Oc1ccc(Cl)cc1","G2","-0.38","C20H14N2O4Cl2","0.175","0.040800001","-0.0055","-0.097999997","0.00089999998","-0.2499","-0.25209999","0.426","-0.3994","-0.32699999","-1.2508","-1.4858","0.3883","1.9806","-7.2024002","-3.7462001","-1.6016999","-5.5173001","-4.0391002","-1.3249","-1.3459001","-0.50840002","-0.6027","-0.47060001","0.79820001","0.9939","0.91350001","0.87900001","0.82279998","0.94139999","0.31169999","1.6497999","0.51050001","0.84850001","327.99991","386.58533","1686.4363","21047.635","19971.365","15.4115","1.9195","4.0844998","417.24887","11.8036","9.9589996","6.2589002","8.533","-1.2691","-1.2271","5.96","183","0.25","-0.23"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1Oc1ccc(Cl)cc1","B3","1.4","C19H12O5N2Cl2","0.26089999","-0.1463","0.092299998","-0.16159999","0.1116","-0.2897","-0.2131","0.42739999","-0.3942","-0.3242","0.1077","1.4632","0.44679999","1.5337","-5.8407998","-3.5818999","-0.83130002","-2.7471001","-1.2534","-1.0283999","-1.1591001","-0.73949999","-0.68919998","-0.46880001","1.0031","1.0779999","1.1817","1.7285","1.0289","1.1907001","0.37029999","2.2704999","0.71439999","1.0592","320.59991","379.91208","2651.7319","19371.611","17267.402","14.2916","1.8139","5.3462","419.22134","11.7737","10.0132","6.2308998","8.5326996","-1.3552001","-1.285","6.994","207","0.67000002","0.16"
"Clc1cc(NC(=O)c2cc(SC)ccc2O)ccc1Oc1ccc(Cl)cc1","G4","0.31999999","C20H15SO3NCl2","0.2325","-0.1373","0.052499998","-0.25659999","0.075300001","-0.2834","-0.23100001","0.4267","-0.3976","-0.3281","-3.1041999","-2.0453","-1.001","3.8498001","-2.0706","-1.3477","-1.3785","-1.8399","-2.3638999","-0.99809998","-0.6437","-0.45500001","-0.56230003","-0.4129","0.91210002","0.96460003","0.94859999","1.0544","0.80489999","0.96030003","0.33109999","1.7084","0.53570002","0.8624","328.7999","395.36938","2776.7034","19569.535","17354.977","14.3081","1.8358001","5.4702001","420.31082","11.7604","10.1024","6.2213998","8.5191002","-1.4426","-1.0338","7.3720002","143","0.2","-0.18000001"
"Clc1cc(NC(=O)c2cc(S(=O)C)ccc2O)ccc1Oc1ccc(Cl)cc1","A5","-0.88","C20H15O4NCl2S","0.2473","-0.14030001","0.0876","-0.46880001","0.1117","-0.28729999","-0.2236","0.42629999","-0.39610001","-0.32690001","0.026699999","-2.2836001","3.6789","4.3301001","-1.209","-0.8732","-1.1233","-1.0692","-1.528","-0.8362","-0.5079","-0.4483","-0.54860002","-0.37619999","1.1601","1.1509","1.0352","2.1675","0.9393","1.0662","0.37329999","1.8967","0.5984","0.93809998","342.29987","404.42609","3099.5256","21450.854","18866.434","14.6589","1.7244999","5.7286","436.31021","11.7727","10.6567","5.5288","8.5384998","-1.6179","-1.1429","5.73","165","0.51999998","0.0099999998"
"Clc1cc(NC(=O)c2cccc([N+](=O)[O-])c2O)ccc1Oc1ccc(Cl)cc1","M6","0.81999999","C19H12O5N2Cl2","0.2834","-0.16419999","0.1018","-0.1469","0.083300002","-0.29460001","-0.1885","0.4267","-0.38940001","-0.32480001","0.38010001","-8.0740995","0.38690001","8.0923004","-1.0867","-0.41460001","-0.79119998","-0.65549999","-0.58249998","-0.59549999","-0.495","-0.39109999","-0.5061","-0.32800001","1.1351","5.4842","3.7658","17.2603","18.237301","3.5904","0.3757","5.7845998","2.4672999","2.1601","320.59991","378.27496","1726.7526","20579.16","19403.096","15.1625","1.8192","4.1767001","419.22134","11.7962","9.9617996","6.2653999","8.5331001","-1.2725","-1.2412","6.994","192","0.67000002","0.16"
"Clc1cc(NC(=O)c2cc(ccc2O)C#N)ccc1Oc1ccc(Cl)cc1","B7","1.84","C20H12O3N2Cl2","0.23729999","-0.13689999","0.061900001","-0.075999998","0.073799998","-0.28130001","-0.2237","0.426","-0.39579999","-0.3267","-1.5168999","-0.5424","0.44420001","1.6711","-1.082","-0.81950003","-1.0338","-0.92860001","-1.3942","-0.77679998","-0.48609999","-0.4077","-0.52710003","-0.36489999","1.0388","1.0965","1.0528001","0.91009998","0.87660003","1.0322","0.3549","1.9231","0.61009997","0.93970001","313.79993","373.30637","2345.0713","17645.037","15850.812","14.0235","1.8648","5.1118999","399.23355","11.7825","9.9721003","6.257","8.5307999","-1.3163","-1.2838","6.7550001","256","0.50999999","0.19"
"FC(F)(F)c1ccc(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])ccc3O)cc2)cc1","B8","1.02","C20H13O5N2F3","0.26010001","-0.14659999","0.092","-0.1618","0.1112","-0.28940001","-0.2138","0.42750001","-0.39829999","-0.3238","-0.035599999","3.7144001","1.2436","3.9172001","-8.4443998","-4.9053998","-0.86059999","-3.9635","-1.4281","-1.3369","-1.5322","-0.82179999","-0.7378","-0.54040003","0.995","1.063","1.154","1.6896","1.0187","1.1572","0.36849999","2.1169","0.65960002","1.001","321.59988","386.11441","2267.2917","22328.787","20831.539","15.6953","2.1538","4.7621002","418.32956","12.714","9.8966999","7.2800002","8.8228998","-1.916","-1.5777","6.6950002","199","0.67000002","0.16"
"Clc1cc(NC(=O)c2cccc(SC)c2O)ccc1Oc1ccc(Cl)cc1","G9","0.41999999","C20H15SO3NCl2","0.2323","-0.2545","0.064999998","-0.13079999","0.040100001","-0.27509999","-0.23190001","0.42570001","-0.39809999","-0.32789999","-2.3652","-3.7578001","-0.82169998","4.5155001","-5.2785001","-2.0048001","-1.6241","-3.5297","-2.5197001","-1.1995","-1.1224","-0.4962","-0.59240001","-0.4499","0.81660002","1.0563999","0.95359999","0.89349997","0.83890003","0.9515","0.31779999","1.6883","0.52689999","0.86129999","328.7999","396.11472","1822.8052","20390.836","19440.973","15.0954","2.2876999","4.0770998","420.31082","11.7836","9.9952002","6.2577","8.5281","-1.3386","-1.2163","7.3720002","151","0.2","-0.18000001"
"Clc1cc(NC(=O)c2cc(S(=O)(=O)C)ccc2O)ccc1Oc1ccc(Cl)cc1","A10","0","C20H15O5NCl2S","0.26210001","-0.1435","0.1007","-0.51459998","0.1454","-0.2904","-0.21699999","0.42719999","-0.3976","-0.32429999","-3.164","1.5843","-2.7014","4.4517999","-0.86669999","-0.76239997","-0.9508","-1.0341001","-1.2133","-0.70520002","-0.44960001","-0.55180001","-0.5905","-0.34729999","1.1427","1.2053","1.1734999","1.1778001","0.94690001","1.098","0.3793","2.0455999","0.65420002","0.96850002","353.59985","413.67645","3400.438","22357.971","19442.146","14.6221","1.6426001","5.9303002","452.3096","11.7258","10.6374","5.6009002","8.5063","-1.6703","-1.4219","5.6700001","195","0.54000002","0.22"
"O(c1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2O)cc1)c1ccccc1","C11","0.1","C19H14O5N2","0.25929999","-0.1462","0.091600001","-0.1611","0.1105","-0.28819999","-0.21250001","0.4262","-0.3924","-0.32679999","1.1464","0.068700001","0.76620001","1.3806","-18.5242","-10.2312","-0.93889999","-8.6128998","-2.131","-2.3426001","-2.9728","-1.2358","-0.97820002","-0.7942","0.99089998","1.0505","1.1364","1.6641999","1.0084","1.138","0.36809999","2.0422001","0.64459997","0.9576","304.79996","355.80188","1894.8627","15368.854","13607.306","13.6757","0.95950001","5.0251002","362.34225","11.7909","9.5562","4.8334999","8.5199003","-2.0179","1.2512","4.888","212","0.67000002","-0.23"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1C(=O)c1ccc(Cl)cc1","C12","1.13","C20H14O5N2Cl2","0.26050001","-0.1453","0.092500001","-0.1603","0.1104","-0.29010001","-0.2105","0.42680001","-0.38769999","-0.3272","-0.73229998","0.7748","0.25099999","1.0951999","-3.6273","-2.4015","-0.78320003","-1.7172","-1.0703","-0.78930002","-0.83499998","-0.59189999","-0.61210001","-0.4057","1.0216","1.1065","1.2309999","1.8079","1.0506999","1.2366","0.37720001","2.4834001","0.801","1.1052999","333.79993","385.53317","3188.1543","20791.547","17782.863","14.3769","1.0239","6.0163999","431.23227","11.8248","11.6162","4.7136002","8.5351","-2.2636001","1.2017","6.2049999","246","0.67000002","-0.23"
"Clc1cc([N+](=O)[O-])ccc1Oc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2O)cc1","B13","0.92000002","C19H12O7N3Cl","0.26019999","-0.1461","0.092799999","-0.161","0.1113","-0.28979999","-0.2132","0.42829999","-0.39700001","-0.3249","-2.3471999","5.1617999","1.3489","5.8285999","-3.6255","-2.3137","-0.79350001","-1.7701","-1.0545","-0.86269999","-0.83420002","-0.6293","-0.62339997","-0.40939999","1.0239","1.1073","1.2209001","1.803","1.0518","1.2257","0.3766","2.4008","0.75629997","1.096","331.99991","392.10461","2622.2456","21989.533","20498.271","15.2597","2.5703001","4.9018002","429.77383","12.4982","9.2788","8.4438","8.6864996","-1.5737","-1.1706001","6.1129999","208","0.67000002","-0.23"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1Oc1ccc(OC)cc1","H14","0.76999998","C20H15O6N2Cl","0.2604","-0.1469","0.091700003","-0.16230001","0.1116","-0.28889999","-0.2132","0.42640001","-0.39539999","-0.3229","2.8977001","-0.27849999","-0.0015","2.9110999","-51.0177","-29.873199","-1.5157","-22.459999","-4.8864999","-4.2065001","-7.7191","-4.5311999","-2.7104001","-1.4855","3.5093","2.201","1.1353","2.9021001","1.1461","1.4756","0.72850001","2.0959001","0.6674","1.0505","328.49991","394.02155","2529.676","19250.004","17192.373","14.3277","1.6904","5.2695999","414.8027","12.9533","10.076","6.4081001","9.1197004","-1.7659","-1.234","6.1799998","159","0.67000002","-0.23"
"Clc1cc(NC(=O)c2cccc(S(=O)(=O)C)c2O)ccc1Oc1ccc(Cl)cc1","F15","0.30000001","C20H15O5NCl2S","0.2913","-0.523","0.1274","-0.1442","0.080600001","-0.28740001","-0.226","0.42609999","-0.39309999","-0.32640001","0.96090001","-6.1255002","-3.303","7.0253","-1.3643","-0.99989998","-0.861","-0.85799998","-0.87980002","-0.67580003","-0.51459998","-0.36880001","-0.4993","-0.3427","0.99489999","1.1112","1.2251","1.1739","1.0567","1.1252","0.36570001","2.2353001","0.71899998","1.046","353.59985","411.79279","1993.354","23754.705","22894.076","15.7683","2.5114","3.9863","452.3096","11.6899","9.6063004","6.4383998","8.4671001","-1.2903","-1.7341","5.6810002","178","0.54000002","0.23"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1Sc1ccc(Cl)cc1","C16","1.36","C19H12SO4N2Cl2","0.25999999","-0.14579999","0.092299998","-0.161","0.1103","-0.2888","-0.2113","0.42680001","-0.3906","-0.32640001","0.27990001","1.084","-0.2142","1.1399","-5.5805001","-3.4700999","-0.824","-2.6015","-1.2302999","-0.9914","-1.1163","-0.69700003","-0.67299998","-0.45969999","1.0046","1.0785","1.1797","1.7299","1.0307","1.1852","0.3725","2.2456","0.71139997","1.0432","332.2999","391.05966","3615.8687","20164.713","17081.309","13.9506","1.7553999","6.2265","435.28189","10.182","11.9139","6.9457998","7.3656998","-2.4667001","2.2822001","6.8379998","222","0.67000002","-0.23"
"Oc1c(cccc1NC=O)C(=O)NCCCCCC","K17","-1","C14H20N2O3","0.16850001","0.038600001","-0.0083999997","-0.101","0.0035000001","-0.241","-0.25240001","0.4188","-0.41249999","-0.4043","1.0017","-2.6659999","-0.0328","2.8480999","-0.54549998","-0.80339998","-1.6953","-0.28850001","-1.2909","-1.4224","-0.4025","-0.46630001","-0.60600001","-0.38949999","7.5332999","4.1605","1.099","5.9682999","4.0047998","1.0283","1.2598","1.4602","0.49340001","0.6803","250.40009","314.22668","574.20453","9189.6504","8711.1963","12.8093","0.9522","3.1573","264.32553","6.9011998","9.7093","5.3613","5.2364998","-5.0591002","-0.56919998","3.007","62","0.25","-0.23"
"Oc1c(cccc1NC=O)C(=O)NCCCCCCCC","K18","-0.41","C16H24N2O3","0.16859999","0.039099999","-0.0088999998","-0.1006","0.0027999999","-0.2401","-0.25209999","0.4181","-0.4129","-0.4039","0.99360001","-2.6456001","-0.0186","2.8261001","-0.54710001","-0.80299997","-1.7000999","-0.28960001","-1.29","-1.4288","-0.40220001","-0.4646","-0.60619998","-0.38929999","7.7428002","4.2789998","1.102","6.1255002","4.1087999","1.0315","1.2854","1.4571","0.4939","0.67909998","282.80002","358.10831","623.59857","13796.099","13431.948","15.0923","1.4904","2.9080999","292.37949","7.9625001","11.8851","5.9513001","5.7533998","-6.1532998","-0.92820001","4.0650001","78","0.25","-0.23"
"Oc1c(cccc1NC(=O)C)C(=O)NCCCCCCCCCCCCCC","J19","-0.89999998","C23H38N2O3","0.1683","0.039500002","-0.0094999997","-0.1004","0.0020000001","-0.2405","-0.252","0.41760001","-0.41350001","-0.40329999","0.95069999","-2.3961999","0.058699999","2.5785999","-0.5643","-0.83950001","-1.7833","-0.28999999","-1.3583","-1.4943","-0.40540001","-0.48519999","-0.62059999","-0.39449999","6.5450001","3.6538","1.0581","5.1802001","3.4714","1.0043","1.1158","1.437","0.484","0.67360002","396.1998","506.67865","793.2323","40830.816","39243.734","22.5436","2.2558","3.9061999","390.56833","10.8214","18.744101","6.9791999","7.1781001","-9.5838003","-1.5017","7.23","71","0.28","-0.25999999"
"Oc1ccc([N+](=O)[O-])cc1C(=O)NCCCCCCCCCCCCCC","E20","0.88999999","C21H34O4N2","0.25619999","-0.1471","0.089500003","-0.1628","0.1108","-0.28080001","-0.21250001","0.4181","-0.40630001","-0.3998","3.4223001","-0.38260001","-0.0241","3.4437001","-0.51279998","-0.54900002","-0.81489998","-0.39950001","-0.95359999","-0.65310001","-0.39039999","-0.2376","-0.43869999","-0.32769999","5.8768001","3.8046999","1.1287","3.7149","1.3436","1.4154","1.0611","2.1902001","0.80489999","0.85519999","340.19989","436.40833","1650.2062","25060.273","23662.135","18.336599","1.3418","4.6662998","350.45987","10.0295","16.4804","7.1093998","6.7638998","-8.4629002","-1.4630001","8.4659996","90","0.67000002","0.16"
"Oc1c(cccc1[N+](=O)[O-])C(=O)NCCCCCCCCCCCCCC","L21","0.81999999","C21H34O4N2","0.2791","-0.1652","0.097000003","-0.148","0.083999999","-0.2854","-0.18780001","0.41780001","-0.4012","-0.40149999","-1.1027","-8.9307003","-0.031599998","8.9986","-1.2692","-0.43259999","-0.84189999","-0.66600001","-0.60420001","-0.66390002","-0.52819997","-0.25299999","-0.44800001","-0.32960001","0.9932","1.9648","1.2609","2.5869999","2.7579","1.2959","0.35710001","2.1162","0.7561","0.84969997","372.59979","477.42938","765.72479","37097.852","36119.48","21.8901","1.1859","3.3963001","378.51382","10.7617","18.8944","7.2670002","30.9758","16.4613","-1.6727999","8.4700003","67","0.67000002","0.16"
"Clc1cc(C(=O)NCCCCCCCCCCCCCC)c(O)c([N+](=O)[O-])c1","L22","1.36","C21H33ClO4N2","0.28380001","-0.1612","0.1127","-0.093800001","0.0995","-0.28080001","-0.18179999","0.41780001","-0.3985","-0.39930001","0.42140001","-8.0768995","-0.0305","8.0880003","-0.94950002","-0.73799998","-1.0875","-2.4800999","-3.0831001","-1.1205","-0.4709","-0.79140002","-0.73839998","-0.43239999","1.1258","1.941","1.226","4.6949","1.0373","1.2497","0.3897","2.0260999","0.6627","0.85110003","387.09976","493.83658","1628.6172","39861.398","38461.703","21.5989","1.1799999","4.2919002","412.95883","10.7824","18.953199","7.2213001","31.319099","16.5005","-1.6306","9.3000002","81","1.08","0.0099999998"
"Oc1ccc([N+](=O)[O-])cc1C(=O)Nc1ccc(cc1)C(C)(C)C","D23","0.23","C17H18O4N2","0.25889999","-0.1469","0.090599999","-0.1619","0.1104","-0.2877","-0.21349999","0.42570001","-0.3971","-0.32429999","3.4331999","0.1762","0.24529999","3.4463999","-0.74239999","-1.0745","-1.0148","-0.43340001","-1.0362999","-0.68879998","-0.42429999","-1.0779001","-0.8538","-0.336","6.6018","3.5615001","1.0783","4.3860002","1.3004","1.8484","1.1676","1.8164001","0.58029997","1.0563","280.40002","330.78622","1422.5823","10025.04","8799.7803","11.7708","1.2534","4.5914998","314.34192","9.2551003","8.3913002","5.2754002","6.3404999","-4.3674002","1.1964","5.3540001","227","0.67000002","0.16"
"Oc1ccc([N+](=O)[O-])cc1C(=O)NCCCCCCCCCCCC","E24","1.41","C19H30O4N2","0.25619999","-0.1471","0.089500003","-0.1628","0.1108","-0.28080001","-0.21250001","0.4181","-0.40630001","-0.3998","3.4223001","-0.38260001","-0.0241","3.4437001","-0.51279998","-0.54900002","-0.81489998","-0.39950001","-0.95359999","-0.65310001","-0.39039999","-0.2376","-0.43869999","-0.32769999","5.8768001","3.8046999","1.1287","3.7149","1.3436","1.4154","1.0611","2.1902001","0.80489999","0.85519999","340.19989","436.40833","1650.2062","25060.273","23662.135","18.336599","1.3418","4.6662998","350.45987","10.0295","16.4804","7.1093998","6.7638998","-8.4629002","-1.4630001","7.408","85","0.67000002","0.16"
"Oc1c(cccc1[N+](=O)[O-])C(=O)NCCCCCCCCCCCCCCCC","L25","-0.039999999","C23H38O4N2","0.2793","-0.16509999","0.096900001","-0.1478","0.083700001","-0.2854","-0.1874","0.41729999","-0.40149999","-0.40130001","-1.1208","-8.9224005","-0.035500001","8.9926004","-1.2661999","-0.4321","-0.84149998","-0.66469997","-0.60290003","-0.66369998","-0.5273","-0.25279999","-0.44819999","-0.32960001","0.99449998","1.9733","1.2608","2.5997","2.7751","1.2974","0.35769999","2.1135001","0.75590003","0.84960002","404.99973","520.96588","808.4082","49091.137","46927.391","24.212999","2.8889","4.2779999","406.56778","11.5158","21.108801","7.5423999","33.790501","18.2964","0","9.5200005","79","0.67000002","0.16"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1Nc1ccc(Cl)cc1","I26","0.43000001","C19H13O4N3Cl2","0.25780001","-0.1452","0.0911","-0.16","0.1084","-0.2861","-0.2097","0.42449999","-0.3937","-0.32480001","2.2681","1.3472","0.66140002","2.7197001","-34.204601","-14.0039","-1.0883","-18.5399","-2.4267001","-7.0823998","-5.1571999","-1.5257","-1.0239","-1.5813","0.99529999","1.0579","1.1390001","1.6811","1.0183001","1.137","0.37220001","2.0056","0.62919998","0.96710002","328.2999","380.38226","3064.9253","19326.949","16851.723","14.1238","1.8848","5.7771001","418.2366","8.6219997","11.7029","7.8834","5.9993","-5.7536998","-1.6195","6.8109999","173","0.67000002","0.16"
"FC(F)(F)c1cc(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])ccc3O)cc2)ccc1","B27","1.03","C20H13O5N2F3","0.26010001","-0.1468","0.091799997","-0.1619","0.1113","-0.2886","-0.2141","0.42739999","-0.39860001","-0.32370001","0.43560001","2.6106999","-1.5316","3.0580001","-9.8302002","-5.5302","-0.86989999","-4.6659999","-1.5161999","-1.5364","-1.7318","-0.85659999","-0.75739998","-0.57980001","0.99330002","1.0596","1.1476001","1.6826","1.0159","1.1507","0.36790001","2.0825","0.64770001","0.98970002","321.59988","385.27243","1846.9785","22716.93","21426.619","15.9624","1.8312","4.3473001","418.32956","11.1225","11.9605","6.7951002","7.1462998","-5.9329","-1.2049","6.6950002","176","0.67000002","0.16"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1Oc1ccc(SC(F)(F)F)cc1","B28","1.55","C20H12O5N2ClSF3","0.26089999","-0.1459","0.092399999","-0.1611","0.1113","-0.2902","-0.21259999","0.42739999","-0.39379999","-0.32429999","-0.29550001","2.5579","0.46200001","2.6161001","-4.1539001","-2.6584001","-0.7949","-1.9782","-1.1159","-0.85890001","-0.91339999","-0.61870003","-0.62470001","-0.4219","1.0152","1.0966001","1.2085","1.7759","1.043","1.2138","0.37400001","2.3728001","0.75089997","1.0921","353.99988","421.53546","3010.1609","28906.992","26566.662","16.530199","1.8678","5.2789001","484.83456","10.5676","13.4492","6.8999","6.8571","-6.6848001","-1.2939","7.869","195","0.67000002","0.16"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1Oc1cc(ccc1)C(F)(F)F","B29","1.0700001","C20H12O5N2ClF3","0.26120001","-0.146","0.092600003","-0.1612","0.1111","-0.2899","-0.21259999","0.42730001","-0.3942","-0.32429999","-1.084","1.9937","-1.5566","2.7519","-4.1114998","-2.6324","-0.7949","-1.9608999","-1.1127","-0.85650003","-0.90780002","-0.62150002","-0.6257","-0.42109999","1.0158","1.0973001","1.2101001","1.7782","1.0431","1.2176","0.37400001","2.3852999","0.75410002","1.0987999","336.09991","401.82898","2447.4656","23459.074","21598.625","15.4201","1.8099","4.9029999","452.77457","11.1316","11.6704","6.2340002","7.1444001","-5.7897","-1.2802","7.2690001","192","0.67000002","0.16"
"Oc1ccc([N+](=O)[O-])cc1C(=O)Nc1ccc(cc1)[C@@H](O)c1ccccc1","D30","-1","C20H16O5N2","0.25999999","-0.1477","0.090999998","-0.1629","0.1116","-0.2877","-0.2148","0.42570001","-0.39579999","-0.32460001","3.1308999","-1.3363","0.19140001","3.4094999","-0.66420001","-0.94599998","-0.98659998","-0.42109999","-1.0243","-0.70039999","-0.41429999","-0.93000001","-0.7845","-0.34439999","6.0402002","3.4281001","1.0804","4.0356002","1.2915","1.6839","1.0901999","1.8805","0.59859997","1.0391001","307.79996","364.0264","1837.9072","15123.224","13701.326","13.6143","1.6903","4.7316999","364.35831","9.434","10.5818","6.8239999","6.4758","-5.4215999","-0.91070002","3.6860001","178","0.67000002","0.16"
"Clc1ccc(cc1)C(=O)c1cc([N+](=O)[O-])ccc1O","N31","0.47999999","C13H9O4N2Cl","0.2483","-0.1462","0.091799997","-0.16339999","0.1174","-0.2886","-0.2084","0.3493","-0.32839999","-0.15000001","3.5820999","1.7919","0.69870001","4.0658002","-41.8125","-27.2335","-2.0913999","-16.574699","-4.0222001","-3.3515","-6.0766001","-5.7076998","-3.4349","-2.7701001","0.9738","1.0278","1.1688","1.6686","0.96939999","1.1517","0.37830001","2.2232001","0.79909998","1.0453","216.20004","259.55621","1631.9397","5819.5015","4289.1333","8.7624998","0.95920002","5.3520002","277.66428","5.6061001","7.7775998","4.4484","3.8719001","-3.7972","0.2244","4.6539998","170","0.67000002","0.16"
